Transect_I,MGMTUNIT_I,TransectNa,StartLat,StartLong,SITE_ID,tblSITE_Site,ManUnitAcres,Obs.2008,Obs.2009,Obs.2010,Obs.2011,Obs.2012,Obs.2013,Obs.2014,Obs.2015,Obs.2016,Obs.2017,Obs.2018,Sys.2008,Sys.2009,Sys.2010,Sys.2011,Sys.2012,Sys.2013,Sys.2014,Sys.2015,Sys.2016,Sys.2017,Sys.2018,Mgmt.2008,Mgmt.2009,Mgmt.2010,Mgmt.2011,Mgmt.2012,Mgmt.2013,Mgmt.2014,Mgmt.2015,Mgmt.2016,Mgmt.2017,Mgmt.2018,NumObs,Delta
1,1,3LE2-02,45.5308,-95.4851,1,Glacial Lakes SP,144.3,0,1,0,0,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",1,0
2,1,3LE2-08,45.5267,-95.4924,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
3,1,3LE2-09,45.5283,-95.4912,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
4,1,3LE2-10,45.5284,-95.4955,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
5,1,3LE2-17,45.5327,-95.49,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
6,1,3LE2-18,45.5327,-95.4922,1,Glacial Lakes SP,144.3,0,1,0,0,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",1,0
7,1,3LE2-21,45.5252,-95.4918,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
8,1,3LE2-22,45.5301,-95.4899,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
9,1,3LE2-30,45.5331,-95.4939,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
10,1,3LE2-37,45.5303,-95.4812,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
11,1,3LE2-41,45.5271,-95.4944,1,Glacial Lakes SP,144.3,0,1,0,0,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",0,0
12,1,3LE2-42,45.5315,-95.4868,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
13,1,3LE2-43,45.5326,-95.4837,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
14,1,3LE2-44,45.5317,-95.4928,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
15,1,3LE2-46,45.5283,-95.4866,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",LG,LG,LG,LG,LG,LG,LG,LG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
16,2,3LE2-40,45.5229,-95.4917,1,Glacial Lakes SP,8.5,0,1,0,1,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Burn,Rest,"","","","",1,0
17,3,3LE2-07,45.5358,-95.5136,1,Glacial Lakes SP,20.5,0,1,0,1,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Burn,Rest,Burn,Rest,Rest,Burn,"","","","",1,0
18,3,3LE2-23,45.5373,-95.5144,1,Glacial Lakes SP,20.5,0,1,0,1,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Burn,Rest,Burn,Rest,Rest,Burn,"","","","",1,0
